#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
  1087;  HD 130559   ; 14 49 19.2; -14 08 53 ; 14 46 34.3; -13 56 28 ;    5.31;    0.02;    0.07;        ;        ;     ;     ; M    ; A       SrEuCrp;  ;
  1088;  HD 204411   ; 21 26 51.2; +48 50 04 ; 21 25 04.9; +48 37 00 ;    5.31;    0.23;    0.07;        ;        ;     ;     ; Y    ; A6      CrEu: p;  ;
  1089;  HD 212330   ; 22 24 55.4; -57 47 34 ; 22 21 38.0; -58 02 48 ;    5.31;    0.78;    0.65;   -0.52;   -0.91;     ;     ; M    ; G3   IV        ;  ;
  1090;  HD  21770   ; 03 32 26.4; +46 03 28 ; 03 28 57.7; +45 53 20 ;    5.32;    0.39;    0.41;   -0.41;   -0.63;     ;     ; Y    ; F4   III       ;  ;
  1091;  HD  97907   ; 11 15 51.9; +13 18 25 ; 11 13 15.0; +13 34 48 ;    5.32;    2.29;     1.2;        ;        ;     ;     ; Y    ; K3   III       ;  ;
  1092;  HD 112244A  ; 12 55 57.0; -56 50 07 ; 12 52 59.3; -56 33 53 ;    5.32;   -0.83;    0.01;   -0.11;   -0.11;     ;     ; M    ; O9   Ia/Iab    ;  ;
  1093;  HD  25558   ; 04 03 44.5; +05 26 07 ; 04 01 05.3; +05 17 55 ;    5.33;   -0.65;   -0.08;        ;        ;     ;     ; Y    ; B3   V         ;  ;
  1094;  HD 140160   ; 15 41 47.1; +12 50 49 ; 15 39 26.0; +13 00 22 ;    5.33;    0.09;    0.04;   -0.05;   -0.01;     ; V   ; Y    ; A0       Sr   p;  ;
  1095;  HD 155644   ; 17 12 27.7; +10 35 07 ; 17 10 06.2; +10 38 38 ;    5.33;    3.23;    1.59;        ;        ;     ;     ; Y    ; M2   IIIa      ;  ;
  1096;  HD 187474   ; 19 51 50.4; -39 52 26 ; 19 48 27.1; -40 00 09 ;    5.33;   -0.28;   -0.06;        ;        ;     ; V   ; M    ; A       Cr(Si)p;  ;
  1097;  HD  36695   ; 05 33 31.4; -01 09 20 ; 05 30 59.0; -01 11 21 ;    5.34;   -1.08;   -0.18;    0.05;    0.25;     ; V   ; Y    ; B1   V         ;  ;
  1098;  HD  93540   ; 10 46 16.5; -64 30 53 ; 10 44 27.4; -64 15 03 ;    5.34;   -0.55;    -0.1;        ;        ;     ;     ; M    ; B6   V         ;  ;
  1099;  HD 101501   ; 11 41 03.0; +34 12 23 ; 11 38 25.2; +34 29 01 ;    5.34;    0.97;    0.74;   -0.61;   -0.96;     ;     ; Y    ; G8   V         ;  ;
  1100;  HD 105416   ; 12 08 14.7; -48 41 31 ; 12 05 38.7; -48 24 49 ;    5.34;   -0.05;   -0.01;        ;        ;     ;     ; M    ; B9.5 V         ;  ;
  1101;  HD 168733   ; 18 22 53.0; -36 40 06 ; 18 19 29.7; -36 41 39 ;    5.34;        ;   -0.14;        ;        ;     ; V   ; M    ; B7   Ib/II     ;  ;
  1102;  HD 179406   ; 19 12 40.5; -07 56 21 ; 19 09 57.9; -08 01 28 ;    5.34;   -0.31;    0.13;        ;        ;     ;     ; Y    ; B3   V         ;  ;
  1103;  HD  84194   ; 09 43 43.8; +14 01 16 ; 09 41 00.6; +14 15 03 ;    5.35;    3.58;    1.63;        ;        ;     ;     ; Y    ; M2   IIIab     ;  ;
  1104;  HD 101153   ; 11 38 27.6; +08 08 01 ; 11 35 52.9; +08 24 38 ;    5.36;     3.1;    1.57;        ;        ;     ;     ; Y    ; M4   III       ;  ;
  1105;  HD 163506   ; 17 55 25.1; +26 02 59 ; 17 53 24.0; +26 03 23 ;    5.36;       0;    0.34;    -0.3;   -0.42;     ; V   ; Y    ; F2   Ib        ;  ;
  1106;  HD 167128   ; 18 17 07.4; -56 01 21 ; 18 12 54.7; -56 02 27 ;    5.36;   -0.74;   -0.06;   -0.04;       0;     ;     ; M    ; B3   II/III    ;  ;
  1107;  HD 188727   ; 19 56 01.2; +16 38 05 ; 19 53 44.9; +16 30 03 ;    5.36;    1.09;    0.67;        ;        ;     ; V   ; Y    ; F6   Ib/G5 Ib  ;  ;
  1108;  HD  82198   ; 09 31 32.5; +35 06 15 ; 09 28 30.1; +35 19 30 ;    5.37;    3.34;    1.53;        ;        ;     ;     ; Y    ; M1   IIIab     ;  ;
  1109;  HD 148379   ; 16 29 42.1; -46 14 34 ; 16 26 04.3; -46 08 02 ;    5.37;    0.14;    0.58;   -0.52;   -0.98;     ; V   ; M    ; B2   Iab       ;  ;
  1110;  HD 167264   ; 18 15 12.9; -20 43 40 ; 18 12 13.9; -20 44 40 ;    5.37;   -0.73;    0.05;    -0.1;   -0.18;     ;     ; M    ; B0.5 Ia/Iab    ;  ;
  1111;  HD 189577   ; 20 00 03.2; +17 30 59 ; 19 57 47.7; +17 22 42 ;    5.37;    3.42;    1.67;        ;        ;     ; V   ; Y    ; M4   IIIa      ;  ;
  1112;  HD   4408   ; 00 46 33.0; +15 28 34 ; 00 43 55.7; +15 12 11 ;    5.38;    3.41;    1.65;        ;        ;     ;     ; Y    ; M4   IIIa      ;  ;
  1113;  HD  36819   ; 05 35 27.0; +24 02 22 ; 05 32 23.7; +24 00 28 ;    5.38;   -0.71;   -0.09;        ;        ;     ;     ; Y    ; B2.5 IV        ;  ;
  1114;  HD  91793   ; 10 35 12.9; -39 33 45 ; 10 32 59.3; -39 18 12 ;    5.38;    9.94;    2.84;    -2.2;   -3.52;     ; V   ; M    ; C              ;  ;
  1115;  HD 142780   ; 15 54 37.9; +43 08 15 ; 15 52 57.7; +43 16 59 ;    5.38;     3.6;    1.64;   -1.48;   -2.73;     ;     ; Y    ; M3   III Ba0.3 ;  ;
  1116;  HD 144690   ; 16 08 07.0; -26 19 35 ; 16 05 04.3; -26 11 39 ;    5.38;    3.66;    1.65;        ;        ;     ;     ; M    ; M2   III       ;  ;
  1117;  HD 175362   ; 18 56 40.4; -37 20 34 ; 18 53 17.1; -37 24 32 ;    5.38;   -0.85;   -0.14;        ;        ;     ; V   ; M    ; B3   V         ;  ;
  1118;  HD 176155   ; 18 58 14.6; +17 21 38 ; 18 56 01.1; +17 17 31 ;    5.38;    1.23;     0.8;        ;        ;     ;     ; Y    ; F8   Ib        ;  ;
  1119;  HD 205730   ; 21 36 02.2; +45 22 28 ; 21 34 08.3; +45 09 00 ;    5.38;    2.83;    1.59;   -2.35;   -4.49;     ; V   ; Y    ; M5   IIIa    e ;  ;
  1120;  HD  53974   ; 07 06 40.8; -11 17 40 ; 07 04 19.8; -11 12 57 ;    5.39;    -0.8;    0.05;        ;        ;     ; V   ; Y    ; B0.5 IV        ;  ;
  1121;  HD 147767   ; 16 22 29.1; +33 42 09 ; 16 20 36.0; +33 49 06 ;    5.39;    3.41;    1.53;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1122;  HD 148513   ; 16 28 33.9; +00 39 56 ; 16 26 00.9; +00 46 30 ;    5.39;    3.26;    1.46;        ;        ;     ;     ; Y    ; K4   III      p;  ;
  1123;  HD 148688   ; 16 31 41.5; -41 49 00 ; 16 28 12.7; -41 42 36 ;    5.39;   -0.23;    0.39;   -0.34;   -0.69; D   ;     ; M    ; B1   Ia        ;  ;
  1124;  HD 157214   ; 17 20 38.9; +32 28 55 ; 17 18 47.1; +32 31 50 ;    5.39;    0.69;    0.62;    -0.5;   -0.83;     ;     ; Y    ; G0   V         ;  ;
  1125;  HD  29712   ; 04 36 46.0; -62 04 33 ; 04 36 10.3; -62 10 30 ;     5.4;    2.44;    1.58;   -2.69;   -5.84;     ; V   ; Y    ; M8   IIIq:   e ;  ;
  1126;  HD  39816   ; 05 55 49.3; +20 10 49 ; 05 52 51.0; +20 10 24 ;     5.4;    1.42;    0.99;        ;        ;     ; V   ; Y    ; M6.5 III     e ;  ;
  1127;  HD 147232   ; 16 17 15.2; +59 45 16 ; 16 16 24.9; +59 52 32 ;     5.4;     3.3;    1.63;        ;        ;     ;     ; Y    ; M4   IIIa      ;  ;
  1128;  HD 147513   ; 16 24 00.8; -39 11 34 ; 16 20 37.6; -39 04 40 ;     5.4;    0.77;    0.62;        ;        ;     ;     ; M    ; G4   V         ;  ;
  1129;  HD 185872   ; 19 39 26.3; +42 49 03 ; 19 37 48.7; +42 42 05 ;     5.4;    -0.3;   -0.08;        ;        ;     ;     ; Y    ; B9   III       ;  ;
  1130;  HD  28497   ; 04 29 06.8; -13 02 52 ; 04 26 47.4; -13 09 24 ;    5.41;   -0.96;   -0.18;    0.05;    0.22;     ; V   ; M    ; B2   V      ne ;  ;
  1131;  HD  82885   ; 09 35 42.4; +35 48 48 ; 09 32 39.9; +36 02 14 ;    5.41;    1.21;    0.77;   -0.62;   -0.99; D   ;     ; Y    ; G8   V         ;  ;
  1132;  HD  89056   ; 10 16 40.7; +13 43 41 ; 10 13 59.7; +13 58 41 ;    5.41;    3.56;    1.61;        ;        ;     ;     ; Y    ; M1.5 IIIab     ;  ;
  1133;  HD 169110   ; 18 22 08.5; +23 17 01 ; 18 20 03.4; +23 15 29 ;    5.41;        ;     1.6;        ;        ;     ;     ; Y    ; M0   IIIab     ;  ;
  1134;  HD  33254   ; 05 09 19.3; +09 49 45 ; 05 06 34.3; +09 45 59 ;    5.43;     0.4;    0.24;   -0.18;    -0.3;     ;     ; Y    ; A2       m     ;  ;
  1135;  HD 120052   ; 13 47 25.0; -17 51 33 ; 13 44 41.7; -17 36 36 ;    5.43;    3.56;    1.62;        ;        ;     ;     ; M    ; M2   III       ;  ;
  1136;  HD 142990   ; 15 58 34.8; -24 49 50 ; 15 55 34.6; -24 41 18 ;    5.43;   -0.73;   -0.09;        ;        ;     ; V   ; M    ; B5   V         ;  ;
  1137;  HD 182416   ; 19 25 29.6; -23 57 43 ; 19 22 28.1; -24 03 42 ;    5.43;     3.1;    1.43;        ;        ;     ;     ; M    ; K3   III       ;  ;
  1138;  HD 217050   ; 22 57 04.4; +48 41 03 ; 22 54 51.5; +48 25 00 ;    5.43;   -0.62;   -0.09;        ;        ;     ;     ; Y    ; B4   III     ep;  ;
  1139;  HD 223385   ; 23 48 50.1; +62 12 51 ; 23 46 23.2; +61 56 10 ;    5.43;    0.65;    0.67;        ;        ;     ;     ; Y    ; A3   Ia        ;  ;
  1140;  HD  48450   ; 06 44 45.4; +28 58 15 ; 06 41 35.3; +29 01 23 ;    5.44;    3.09;    1.45;        ;        ;     ;     ; Y    ; K4   III       ;  ;
  1141;  HD  60606   ; 07 33 51.0; -36 20 17 ; 07 32 02.3; -36 13 42 ;    5.44;   -0.77;   -0.07;   -0.11;   -0.12;     ; V   ; M    ; B2   V      ne ;  ;
  1142;  HD 142574   ; 15 54 34.8; +20 18 35 ; 15 52 22.2; +20 27 21 ;    5.44;    3.54;    1.59;   -1.26;   -2.23;     ;     ; Y    ; M0   III       ;  ;
  1143;  HD 195774   ; 20 31 18.7; +49 13 14 ; 20 29 46.1; +49 03 02 ;    5.44;    3.47;    1.55;        ;        ;     ;     ; Y    ; M2   IIIab     ;  ;
  1144;  HD   5286   ; 00 54 57.5; +23 37 42 ; 00 52 17.0; +23 21 27 ;    5.45;    1.92;    1.01;   -0.78;   -1.28; D   ;     ; Y    ; K1   IV        ;  ;
  1145;  HD  23753   ; 03 48 20.7; +23 25 17 ; 03 45 22.9; +23 16 07 ;    5.45;   -0.39;   -0.07;   -0.03;    0.03;     ;     ; Y    ; B8   V         ;  ;
  1146;  HD  92207   ; 10 37 27.0; -58 43 59 ; 10 35 32.3; -58 28 23 ;    5.45;    0.26;     0.5;        ;        ;     ; V   ; C    ; A0   Ia      e ;  ;
  1147;  HD 137432   ; 15 27 18.0; -36 46 01 ; 15 24 05.4; -36 35 36 ;    5.45;   -0.76;   -0.15;    0.09;    0.26;     ;     ; M    ; B5   V         ;  ;
  1148;  HD 152234   ; 16 54 01.7; -41 48 22 ; 16 50 30.9; -41 43 30 ;    5.45;   -0.53;    0.19;        ;        ;     ;     ; M    ; B0.5 Ia        ;  ;
  1149;  HD  23288   ; 03 44 48.0; +24 17 23 ; 03 41 49.4; +24 08 00 ;    5.46;   -0.37;   -0.04;   -0.04;    0.01;     ;     ; Y    ; B7   IV        ;  ;
  1150;  HD  36351   ; 05 31 14.4; +03 17 30 ; 05 28 36.9; +03 15 19 ;    5.46;   -0.99;   -0.17;    0.05;    0.26; D   ;     ; Y    ; B1   IV +B1.5V ;  ;
  1151;  HD  91232   ; 10 32 11.9; +14 08 12 ; 10 29 31.7; +14 23 39 ;    5.46;    3.72;    1.68;        ;        ;     ;     ; Y    ; M1.5 IIIbCa-1  ;  ;
  1152;  HD 135591A  ; 15 18 49.0; -60 29 45 ; 15 14 46.2; -60 18 50 ;    5.46;      -1;    -0.1;        ;        ;     ;     ; M    ; O8             ;  ;
  1153;  HD  80390   ; 09 21 43.3; +56 41 57 ; 09 18 03.9; +56 54 44 ;    5.47;        ;    1.61;        ;        ;     ;     ; Y    ; M4   IIIa      ;  ;
  1154;  HD 192107   ; 20 13 13.7; -01 00 30 ; 20 10 38.9; -01 09 36 ;    5.47;    2.73;    1.43;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1155;  HD 199101   ; 20 53 53.9; +33 26 13 ; 20 51 52.2; +33 14 47 ;    5.47;    3.39;    1.52;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1156;  HD 156274   ; 17 18 58.3; -46 38 11 ; 17 15 15.1; -46 35 05 ;    5.48;    1.18;     0.8;   -0.72;   -1.18;     ;     ; M    ; G9   V         ;  ;
  1157;  HD  10934   ; 01 46 05.7; -50 48 58 ; 01 44 08.4; -51 03 57 ;    5.49;    3.55;    1.59;   -1.49;   -2.76;     ;     ; M    ; M2   III       ;  ;
  1158;  HD 137387   ; 15 31 30.7; -73 23 20 ; 15 26 01.0; -73 13 06 ;    5.49;   -0.89;   -0.12;        ;        ;     ;     ; M    ; B3  (Ib/III)ne ;  ;
  1159;  HD 178175   ; 19 08 16.5; -19 17 23 ; 19 05 20.3; -19 22 11 ;    5.49;    -0.7;   -0.06;    0.01;    0.02;     ; V   ; M    ; B2   V         ;  ;
  1160;  HD   6118   ; 01 02 48.9; +31 48 15 ; 01 00 04.3; +31 32 09 ;     5.5;   -0.23;   -0.05;        ;        ;     ;     ; Y    ; B9.5 V         ;  ;
  1161;  HD  32990   ; 05 08 06.5; +24 15 53 ; 05 05 03.5; +24 12 02 ;     5.5;   -0.51;    0.06;        ;        ;     ;     ; Y    ; B2   V         ;  ;
  1162;  HD  71250   ; 08 26 43.9; +12 39 20 ; 08 23 58.0; +12 49 14 ;     5.5;    3.52;     1.6;   -1.62;   -3.03;     ; V   ; Y    ; M3   III       ;  ;
  1163;  HD  83548   ; 09 38 01.3; -43 11 26 ; 09 36 04.1; -42 57 52 ;     5.5;    1.68;       1;        ;        ;     ;     ; M    ; G8   II        ;  ;
  1164;  HD 109729   ; 12 36 23.6; +59 29 14 ; 12 34 07.3; +59 45 44 ;     5.5;    2.17;     1.4;        ;        ;     ; V   ; Y    ; M4   III     e ;  ;
  1165;  HD 122250   ; 14 05 21.0; -76 47 46 ; 14 00 23.2; -76 33 24 ;     5.5;     2.6;    1.55;        ;        ;     ; V   ; M    ; M7   III       ;  ;
  1166;  HD 126981   ; 14 30 08.7; -45 19 15 ; 14 26 54.3; -45 05 56 ;     5.5;   -0.35;   -0.08;        ;        ;     ;     ; M    ; B8   V         ;  ;
  1167;  HD 217014   ; 22 57 27.1; +20 46 04 ; 22 55 00.3; +20 30 00 ;     5.5;    0.89;    0.66;   -0.53;   -0.89;     ;     ; Y    ; G2.5 IVa       ;  ;
  1168;  HD  12292   ; 02 00 26.4; -08 31 23 ; 01 57 57.7; -08 45 53 ;    5.51;    2.86;    1.52;        ;        ;     ; V   ; Y    ; M3   III       ;  ;
  1169;  HD  92964   ; 10 42 40.5; -59 12 55 ; 10 40 44.2; -58 57 11 ;    5.51;   -0.39;    0.27;   -0.21;   -0.51;     ; V   ; M    ; B2   Ia/Iab    ;  ;
  1170;  HD 136512   ; 15 20 09.0; +29 37 01 ; 15 18 04.4; +29 47 48 ;    5.51;    1.79;    1.02;        ;        ;     ;     ; Y    ; K0   III       ;  ;
  1171;  HD 179497   ; 19 13 15.3; -12 16 54 ; 19 10 27.7; -12 22 03 ;    5.51;        ;    1.44;        ;        ;     ;     ; M    ; K3   III       ;  ;
  1172;  HD 215405   ; 22 45 40.7; -46 32 49 ; 22 42 44.0; -46 48 37 ;    5.51;    2.75;    1.32;        ;        ;     ;     ; M    ; K2   III       ;  ;
  1173;  HD  11241   ; 01 51 59.3; +55 08 49 ; 01 48 41.3; +54 54 01 ;    5.52;   -1.01;   -0.18;        ;        ;     ; V   ; Y    ; B1.5 V         ;  ;
  1174;  HD  47054   ; 06 36 35.2; -05 12 37 ; 06 34 07.5; -05 10 03 ;    5.52;   -0.47;   -0.08;        ;        ;     ;     ; Y    ; B8   V         ;  ;
  1175;  HD  92664   ; 10 40 11.5; -65 06 00 ; 10 38 27.1; -64 50 19 ;    5.52;   -0.73;   -0.16;        ;        ;     ;     ; M    ; A        Si   p;  ;
  1176;  HD 132833   ; 15 01 19.6; -02 45 15 ; 14 58 43.7; -02 33 26 ;    5.52;     3.7;    1.68;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1177;  HD 188485   ; 19 54 30.9; +24 19 08 ; 19 52 23.7; +24 11 12 ;    5.52;   -0.18;   -0.02;        ;        ;     ;     ; Y    ; A0   III       ;  ;
  1178;  HD  22920   ; 03 40 38.3; -05 12 37 ; 03 38 09.6; -05 22 14 ;    5.53;   -0.72;   -0.15;        ;        ;     ;     ; Y    ; B9   III Si420p;  ;
  1179;  HD 113904   ; 13 08 06.7; -65 18 17 ; 13 04 51.7; -65 02 17 ;    5.53;   -0.82;   -0.03;   -0.09;   -0.13; D   ; V   ; M    ; WC + O9.5/B0 I ;  ;
  1180;  HD 155806   ; 17 15 19.1; -33 32 53 ; 17 12 02.0; -33 29 32 ;    5.53;   -0.92;   -0.01;        ;        ;     ;     ; M    ; O9             ;  ;
  1181;  HD 207978   ; 21 52 30.0; +28 47 39 ; 21 50 15.7; +28 33 30 ;    5.53;    0.29;    0.42;        ;        ;     ;     ; Y    ; F6   IV/V vw   ;  ;
  1182;  HD  20766   ; 03 17 36.5; -62 35 04 ; 03 16 40.8; -62 45 58 ;    5.54;     0.7;    0.64;   -0.54;   -0.88;     ;     ; M    ; G4   V         ;  ;
  1183;  HD  44458   ; 06 21 24.6; -11 46 22 ; 06 19 04.7; -11 44 54 ;    5.55;   -0.81;    0.01;   -0.17;   -0.21; D   ; V   ; Y    ; B1   V       ep;  ;
  1184;  HD  45412   ; 06 28 34.0; +30 29 34 ; 06 25 21.2; +30 31 32 ;    5.55;    1.18;    0.68;        ;        ;     ;     ; Y    ; F8   Ib        ;  ;
  1185;  HD 104304   ; 12 00 44.0; -10 26 21 ; 11 58 10.3; -10 09 39 ;    5.55;    1.21;    0.77;        ;        ;     ;     ; Y    ; G9   IV        ;  ;
  1186;  HD 128068   ; 14 36 19.1; -46 14 43 ; 14 33 01.9; -46 01 40 ;    5.55;     3.2;    1.48;        ;        ;     ;     ; M    ; K3   III       ;  ;
  1187;  HD 178233   ; 19 06 37.3; +28 37 37 ; 19 04 38.5; +28 32 54 ;    5.55;    0.33;    0.29;        ;        ;     ;     ; Y    ; F0   III       ;  ;
  1188;  HD 194258   ; 20 20 05.7; +68 52 48 ; 20 19 53.1; +68 43 13 ;    5.55;        ;    1.59;        ;        ;     ;     ; Y    ; M4.5 III       ;  ;
  1189;  HD  61913   ; 07 42 03.1; +14 12 29 ; 07 39 14.0; +14 19 35 ;    5.56;    3.55;    1.64;    -1.6;   -3.02;     ; V   ; Y    ; M3   II/III    ;  ;
  1190;  HD  83069   ; 09 36 42.8; +31 09 42 ; 09 33 45.1; +31 23 11 ;    5.56;    3.45;    1.59;        ;        ;     ;     ; Y    ; M2   IIIa      ;  ;
  1191;  HD  90362   ; 10 25 44.6; -07 03 40 ; 10 23 14.2; -06 48 24 ;    5.56;    3.38;    1.52;   -1.25;    -2.2;     ;     ; Y    ; K5  :IIIbFe-0. ;  ;
  1192;  HD  90972A  ; 10 29 35.4; -30 36 24 ; 10 27 17.0; -30 21 01 ;    5.56;   -0.22;   -0.04;        ;        ;     ;     ; M    ; B9   V         ;  ;
  1193;  HD 177808   ; 19 04 57.3; +31 44 41 ; 19 03 03.3; +31 40 05 ;    5.56;    3.45;    1.54;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1194;  HD 193911   ; 20 22 03.3; +24 26 45 ; 20 19 54.3; +24 17 07 ;    5.56;    -0.5;   -0.11;    0.03;    0.02;     ;     ; Y    ; B8   III    ne ;  ;
  1195;  HD  22780   ; 03 41 07.7; +37 34 49 ; 03 37 52.0; +37 25 12 ;    5.57;   -0.48;   -0.07;        ;        ;     ;     ; Y    ; B7   V      ne ;  ;
  1196;  HD  71093   ; 08 26 27.7; +27 53 45 ; 08 23 25.3; +28 03 37 ;    5.57;    3.08;     1.4;        ;        ;     ;     ; Y    ; K5   III       ;  ;
  1197;  HD 187982/3 ; 19 52 01.4; +24 59 31 ; 19 49 55.2; +24 51 44 ;    5.57;    0.84;    0.71;        ;        ;     ;     ; Y    ; A1   Ia        ;  ;
  1198;  HD  55575   ; 07 15 49.9; +47 14 32 ; 07 12 07.5; +47 19 50 ;    5.58;    0.61;    0.58;        ;        ;     ;     ; Y    ; G0   V         ;  ;
  1199;  HD  91120   ; 10 30 59.9; -13 35 17 ; 10 28 32.3; -13 19 51 ;    5.58;    -0.2;   -0.04;        ;        ;     ;     ; M    ; B8.5 IV/V      ;  ;
  1200;  HD 140775   ; 15 45 23.3; +05 26 48 ; 15 42 54.9; +05 36 08 ;    5.58;    0.07;    0.04;   -0.04;   -0.03;     ;     ; Y    ; A0   V         ;  ;
  1201;  HD 193369   ; 20 18 28.3; +36 59 57 ; 20 16 36.0; +36 50 31 ;    5.58;    0.06;    0.06;        ;        ;     ;     ; Y    ; A2   V         ;  ;
  1202;  HD 219134   ; 23 13 04.0; +57 09 50 ; 23 10 51.7; +56 53 30 ;    5.58;    1.88;    0.99;   -0.82;   -1.35;     ;     ; Y    ; K3   V         ;  ;
  1203;  HD    144   ; 00 06 26.4; +64 11 46 ; 00 03 49.6; +63 55 04 ;    5.59;   -0.22;   -0.03;        ;        ;     ;     ; Y    ; B9   III       ;  ;
  1204;  HD  10221   ; 01 42 19.9; +68 02 34 ; 01 38 36.3; +67 47 27 ;    5.59;    -0.3;   -0.07;        ;        ;     ; V   ; Y    ; A0       SiSr p;  ;
  1205;  HD 157325   ; 17 20 21.2; +46 14 24 ; 17 18 56.2; +46 17 20 ;    5.59;    3.43;    1.57;        ;        ;     ;     ; Y    ; M0   III       ;  ;
  1206;  HD 193571   ; 20 22 27.2; -42 02 52 ; 20 19 04.1; -42 12 30 ;    5.59;       0;       0;        ;        ;     ;     ; M    ; A0   V         ;  ;
  1207;  HD  65907   ; 07 57 43.5; -60 18 17 ; 07 56 51.6; -60 10 06 ;     5.6;    0.57;    0.57;        ;        ;     ;     ; M    ; G0   V         ;  ;
  1208;  HD 112412   ; 12 56 01.3; +38 18 48 ; 12 53 40.1; +38 35 02 ;     5.6;    0.31;    0.34;   -0.24;   -0.47;     ; V   ; Y    ; F0   V         ;  ;
  1209;  HD 113866   ; 13 06 22.4; +22 36 58 ; 13 03 56.5; +22 53 00 ;     5.6;    3.22;    1.59;   -1.97;   -3.76;     ; V   ; Y    ; M5   III       ;  ;
  1210;  HD 160371   ; 17 40 58.3; -32 12 50 ; 17 37 42.7; -32 11 20 ;     5.6;    3.15;     1.6;        ;        ;     ; V   ; M    ; K3   III + (G) ;  ;
  1211;  HD  23281   ; 03 43 33.7; -10 29 06 ; 03 41 10.3; -10 38 32 ;    5.61;    0.27;    0.19;   -0.21;   -0.31;     ;     ; Y    ; A5       m     ;  ;
  1212;  HD  58978   ; 07 26 59.4; -23 05 08 ; 07 24 52.1; -22 59 01 ;    5.61;   -1.11;   -0.13;        ;        ;     ; V   ; M    ; B1   II        ;  ;
  1213;  HD  70958   ; 08 24 35.6; -03 45 01 ; 08 22 05.3; -03 35 14 ;    5.61;     0.4;    0.46;        ;        ;     ;     ; Y    ; F3   V         ;  ;
