#
#   VizieR Astronomical Server vizier.u-strasbg.fr 	2011-12-17T22:26:10 [V1.80]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4eed156b4eb6	
#INFO	-out.max=1000	

#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati, 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
recno	Name	RAJ1950	DEJ1950	Vmag	U-V	B-V	R-V	I-V	CommonName
     157	 HD   6805  	01 06 04.3	-10 26 48	 3.44	 2.35	 1.16	-0.83	 -1.41
    1802	 HD  89021  	10 14 05.3	+43 09 52	 3.45	 0.09	 0.03	-0.08	 -0.07
     398	 HD  16970  	02 40 42.3	+03 01 32	 3.47	 0.16	 0.09	-0.11	 -0.15
    1334	 HD  52877  	06 59 43.5	-27 51 42	 3.47	 3.61	 1.73	-1.32	 -2.32
    3411	 HD 189319  	19 56 31.9	+19 21 17	 3.47	 3.50	 1.57	-1.20	 -2.12
    3806	 HD 216131  	22 47 35.1	+24 20 12	 3.48	 1.62	 0.94	-0.68	 -1.15
    1988	 HD  98262  	11 15 46.9	+33 22 02	 3.49	 2.95	 1.40	-1.06	 -1.76
    2502	 HD 135722  	15 13 29.0	+33 30 00	 3.49	 1.63	 0.95	-0.73	 -1.24
     232	 HD  10700  	01 41 44.6	-16 11 59	 3.50	 0.93	 0.72	-0.62	 -1.09
    2756	 HD 150997  	16 41 10.7	+39 00 57	 3.50	 1.53	 0.92	-0.67	 -1.15
    3198	 HD 175775  	18 54 44.7	-21 10 25	 3.51	 2.31	 1.18	-0.80	 -1.39
    1732	 HD  83808  	09 38 28.9	+10 07 13	 3.52	 0.70	 0.49	-0.41	 -0.64
    2469	 HD 133208  	15 00 03.6	+40 35 12	 3.52	 1.69	 0.95	-0.67	 -1.15
    1402	 HD  56986  	07 17 08.2	+22 04 32	 3.53	 0.38	 0.34	-0.36	 -0.55
    1767	 HD  86440  	09 55 06.2	-54 19 44	 3.53	-0.70	-0.08	-0.02	  0.06
    2569	 HD 141513  	15 47 00.3	-03 16 42	 3.53	-0.14	-0.04	 0.01	  0.06
     526	 HD  23249  	03 40 50.9	-09 55 51	 3.54	 1.59	 0.92	-0.72	 -1.22
    1556	 HD  69267  	08 13 48.2	+09 20 26	 3.54	 3.25	 1.48	-1.12	 -1.92
    2013	 HD 100407  	11 30 32.3	-31 34 51	 3.54	 1.63	 0.93	-0.70	 -1.18
    3807	 HD 216228  	22 47 53.5	+65 56 13	 3.54	 1.96	 1.06	-0.85	 -1.35
      46	 HD   1522  	00 16 52.8	-09 06 03	 3.55	 2.39	 1.22	-0.85	 -1.44
    3728	 HD 210418  	22 07 40.5	+05 57 03	 3.55	 0.17	 0.07	-0.05	 -0.09
     631	 HD  27376  	04 15 59.9	-33 55 08	 3.56	-0.49	-0.12	 0.01	  0.12
    1989	 HD  98430  	11 16 50.3	-14 30 27	 3.56	 2.10	 1.11	-0.83	 -1.43
    3444	 HD 190248  	20 03 50.3	-66 18 42	 3.56	 1.22	 0.76	-0.61	 -0.95
     217	 HD   9927  	01 34 54.6	+48 22 32	 3.57	 2.72	 1.28	-0.96	 -1.61
     305	 HD  14228  	02 14 43.3	-51 44 33	 3.57	-0.51	-0.12	 0.07	  0.18
    1477	 HD  62345  	07 41 25.7	+24 31 08	 3.57	 1.62	 0.92	-0.71	 -1.16
    3106	 HD 170153  	18 21 57.4	+72 42 41	 3.58	 0.43	 0.49	-0.44	 -0.75
    3482	 HD 192947  	20 15 16.9	-12 42 05	 3.58	 1.62	 0.93	-0.67	 -1.16
     187	 HD   8512  	01 21 31.3	-08 26 26	 3.59	 1.98	 1.06	-0.76	 -1.33
    2404	 HD 127665  	14 29 40.3	+30 35 23	 3.59	 2.74	 1.30	-0.92	 -1.57
     483	 HD  21120  	03 22 07.0	+08 51 14	 3.60	 1.51	 0.89	-0.68	 -1.13
    1025	 HD  38393  	05 42 22.6	-22 27 48	 3.60	 0.48	 0.47	-0.45	 -0.71
    1301	 HD  50019  	06 49 29.6	+34 01 24	 3.60	 0.24	 0.10	-0.10	 -0.18
    1713	 HD  82434  	09 28 43.6	-40 14 48	 3.60	 0.29	 0.36	-0.36	 -0.58
    2057	 HD 102870  	11 48 05.3	+02 02 46	 3.60	 0.66	 0.55	-0.47	 -0.75
    1486	 HD  63032  	07 43 28.3	-37 50 45	 3.61	 3.45	 1.73	-1.35	 -2.35
    1784	 HD  88284  	10 08 08.9	-12 06 21	 3.61	 1.92	 1.00	-0.77	 -1.25
     199	 HD   9270  	01 28 48.1	+15 05 18	 3.62	 1.71	 0.97	-0.72	 -1.22
    3839	 HD 217675  	22 59 36.9	+42 03 25	 3.62	-0.62	-0.09	-0.01	  0.07
     552	 HD  23850  	03 46 10.9	+23 54 06	 3.63	-0.45	-0.09	-0.01	  0.05
    3540	 HD 196524  	20 35 11.7	+14 25 08	 3.63	 0.53	 0.44	-0.40	 -0.64
    3856	 HD 218594  	23 06 46.9	-21 26 38	 3.64	 2.45	 1.23	-0.84	 -1.44
    2046	 HD 102249  	11 43 13.9	-66 27 04	 3.65	 0.31	 0.16	-0.14	 -0.22
      92	 HD   3360  	00 34 10.3	+53 37 19	 3.66	-1.08	-0.19	 0.08	  0.29
     918	 HD  36861/2	05 32 22.9	+09 54 10	 3.66	-1.21	-0.18	 0.06	  0.23
    3764	 HD 213052  	22 26 15.4	-00 16 35	 3.66	 0.37	 0.38	-0.39	 -0.62
    1711	 HD  81937  	09 27 36.5	+63 16 54	 3.67	 0.43	 0.33	-0.34	 -0.52
    2564	 HD 141003  	15 43 52.6	+15 34 35	 3.67	 0.14	 0.06	-0.06	 -0.09
    3666	 HD 206088  	21 37 19.4	-16 53 21	 3.67	 0.52	 0.31	-0.20	 -0.33
     732	 HD  30836  	04 48 32.4	+05 31 16	 3.68	-0.97	-0.16	 0.06	  0.22
    1614	 HD  74575  	08 41 34.9	-33 00 18	 3.68	-1.03	-0.18	 0.08	  0.25
    2530	 HD 137909  	15 25 45.9	+29 16 35	 3.68	 0.40	 0.29	-0.18	 -0.23
     474	 HD  20720  	03 17 17.5	-21 56 20	 3.70	 3.43	 1.62	-1.58	 -3.04
     533	 HD  23302  	03 41 54.0	+23 57 26	 3.70	-0.51	-0.11	 0.01	  0.10
    2488	 HD 134481  	15 08 26.7	-48 32 56	 3.70	-0.15	-0.03	 0.05	  0.06
    2965	 HD 163993  	17 55 49.2	+29 15 06	 3.70	 1.64	 0.94	-0.69	 -1.15
    3870	 HD 219615  	23 14 34.3	+03 00 30	 3.70	 1.50	 0.92	-0.72	 -1.23
     247	 HD  11353  	01 48 59.3	-10 34 51	 3.72	 2.20	 1.14	-0.80	 -1.35
    1067	 HD  40136  	05 54 07.6	-14 10 31	 3.72	 0.33	 0.33	-0.33	 -0.49
    1071	 HD  40035  	05 55 24.4	+54 16 59	 3.72	 1.90	 0.99	-0.77	 -1.27
    2048	 HD 102224  	11 43 24.9	+48 03 22	 3.72	 2.34	 1.18	-0.88	 -1.48
    3401	 HD 188512  	19 52 51.3	+06 16 48	 3.72	 1.34	 0.86	-0.67	 -1.16
     507	 HD  22049  	03 30 34.4	-09 37 35	 3.73	 1.46	 0.88	-0.73	 -1.19
     739	 HD  31237  	04 51 38.6	+02 21 36	 3.73	-1.01	-0.19	 0.06	  0.26
    2438	 HD 130109  	14 43 43.0	+02 06 07	 3.73	-0.04	-0.01	-0.07	 -0.05
    3012	 HD 165777  	18 04 58.6	+09 33 18	 3.73	 0.22	 0.12	-0.14	 -0.19
    3601	 HD 200905  	21 03 06.5	+43 43 38	 3.73	 3.44	 1.66	-1.18	 -2.10
    3621	 HD 202444  	21 12 47.5	+37 49 51	 3.73	 0.43	 0.40	-0.35	 -0.59
    1168	 HD  45725AB	06 26 23.9	-07 00 00	 3.74	-0.89	-0.15	 0.01	  0.17
    3641	 HD 204075  	21 23 48.9	-22 37 44	 3.74	 1.61	 1.01	-0.65	 -1.09
     490	 HD  21364  	03 24 27.3	+09 33 34	 3.75	-0.42	-0.09	 0.01	  0.10
     760	 HD  32068  	04 58 58.6	+41 00 17	 3.75	 1.60	 1.22	-1.13	 -2.00
    1666	 HD  78004  	09 02 25.6	-46 53 51	 3.75	 2.41	 1.20	-0.82	 -1.42
    2940	 HD 161868  	17 45 22.9	+02 43 27	 3.75	 0.08	 0.05	-0.04	 -0.04
    2954	 HD 163588  	17 52 39.6	+56 52 47	 3.75	 2.39	 1.18	-0.83	 -1.42
     955	 HD  37350  	05 33 11.3	-62 31 19	 3.76	 1.37	 0.82	-0.21	 -0.64
    2681	 HD 147547  	16 19 42.7	+19 16 08	 3.76	 0.46	 0.27	-0.29	 -0.43
    3267	 HD 181276  	19 15 56.7	+53 16 30	 3.76	 1.71	 0.97	-0.63	 -1.10
    3719	 HD 210027  	22 04 40.8	+25 06 01	 3.76	 0.41	 0.44	-0.40	 -0.65
    3225	 HD 177241  	19 01 41.2	-21 49 00	 3.77	 1.86	 1.00	-0.72	 -1.25
    3546	 HD 196867  	20 37 18.7	+15 44 03	 3.77	-0.27	-0.06	 0.00	  0.04
    3562	 HD 198001  	20 44 58.2	-09 40 48	 3.77	 0.02	 0.00	-0.07	 -0.07
    3774	 HD 213558  	22 29 13.4	+50 01 28	 3.77	 0.01	 0.01	 0.00	  0.03
     415	 HD  17506  	02 47 01.9	+55 41 22	 3.79	 3.59	 1.69	-1.23	 -2.12
    1417	 HD  58207  	07 22 37.3	+27 53 55	 3.79	 1.88	 1.04	-0.77	 -1.27
    1918	 HD  94510  	10 51 27.3	-58 35 13	 3.79	 1.60	 0.95	-0.72	 -1.22
    3813	 HD 216386  	22 50 00.3	-07 50 45	 3.79	 3.41	 1.65	-1.42	 -2.61
     531	 HD  23230  	03 41 47.2	+42 25 19	 3.80	 0.70	 0.42	-0.40	 -0.67
     988	 HD  37468  	05 36 13.9	-02 37 36	 3.80	-1.26	-0.25	 0.07	  0.31
    3470	 HD 192577  	20 12 03.3	+46 35 19	 3.80	 1.70	 1.28	-0.97	 -1.73
     454	 HD  19476  	03 06 06.7	+44 40 08	 3.81	 1.81	 0.98	-0.74	 -1.24
    1610	 HD  74180  	08 38 57.9	-46 28 11	 3.81	 1.05	 0.71	-0.65	 -1.19
    1753	 HD  84999  	09 47 27.0	+59 16 29	 3.81	 0.38	 0.29	-0.34	 -0.50
    1823	 HD  90432  	10 23 40.2	-16 34 48	 3.81	 3.30	 1.48	-1.11	 -1.94
    3365	 HD 187076  	19 45 09.3	+18 24 33	 3.81	 2.39	 1.42	-1.44	 -2.73
     694	 HD  29291  	04 33 36.3	-30 39 47	 3.82	 1.70	 0.98	-0.75	 -1.24
    1383	 HD  56139  	07 12 46.9	-26 41 04	 3.82	-0.92	-0.18	-0.02	  0.08
    3900	 HD 222107  	23 35 06.6	+46 11 11	 3.82	 1.72	 1.02	-0.78	 -1.35
     528	 HD  23180  	03 41 10.5	+32 07 53	 3.83	-0.70	 0.05	-0.12	 -0.12
    1915	 HD  94264  	10 50 31.2	+34 29 05	 3.83	 1.96	 1.04	-0.83	 -1.37
    1951	 HD  96918  	11 06 26.7	-58 42 12	 3.83	 2.24	 1.26	-0.97	 -1.56
    3138	 HD 171443  	18 32 29.0	-08 16 49	 3.83	 2.87	 1.34	-0.97	 -1.65
    1855	 HD  92139  	10 35 11.7	-47 57 56	 3.84	 0.35	 0.29	-0.27	 -0.43
    3104	 HD 169414  	18 21 33.9	+21 44 43	 3.84	 2.34	 1.18	-0.85	 -1.45
    3378	 HD 188119  	19 48 21.0	+70 08 26	 3.84	 1.41	 0.89	-0.65	 -1.13
     460	 HD  20010  	03 09 56.3	-29 11 08	 3.85	 0.56	 0.51	-0.46	 -0.77
    1055	 HD  39364  	05 49 10.1	-20 52 53	 3.85	 1.69	 0.98	-0.86	 -1.42
    1145	 HD  44762  	06 20 17.0	-33 24 35	 3.85	 1.40	 0.88	-0.67	 -1.14
    1793	 HD  88955  	10 12 38.0	-41 52 25	 3.85	 0.13	 0.05	-0.02	 -0.04
    1841	 HD  91316  	10 30 10.7	+09 33 51	 3.85	-1.09	-0.14	 0.05	  0.21
    2006	 HD 100029  	11 28 27.5	+69 36 25	 3.85	 3.59	 1.62	-1.31	 -2.30
    3047	 HD 166937  	18 10 46.3	-21 04 24	 3.85	-0.25	 0.22	-0.27	 -0.47
     618	 HD  26967  	04 12 20.5	-42 24 59	 3.86	 2.11	 1.10	-0.86	 -1.45
    1046	 HD  39060  	05 46 05.9	-51 05 00	 3.86	 0.27	 0.17	-0.12	 -0.28
    2152	 HD 109787  	12 34 57.3	-48 15 56	 3.86	 0.08	 0.05	-0.05	 -0.09
    2592	 HD 142669  	15 53 47.4	-29 04 09	 3.86	-1.02	-0.20	 0.11	  0.31
    2594	 HD 142860  	15 54 08.3	+15 49 23	 3.86	 0.45	 0.48	-0.49	 -0.73
      27	 HD    496  	00 06 52.7	-46 01 22	 3.87	 1.86	 1.02	-0.76	 -1.28
     135	 HD   5448  	00 53 58.1	+38 13 42	 3.87	 0.27	 0.12	-0.15	 -0.23
     431	 HD  18322  	02 53 58.9	-09 05 44	 3.87	 2.10	 1.12	-0.79	 -1.37
     537	 HD  23408  	03 42 50.7	+24 12 46	 3.87	-0.47	-0.07	-0.02	  0.03
     701	 HD  29503  	04 35 53.3	-14 24 00	 3.87	 2.12	 1.09	-0.84	 -1.40
     878	 HD  36597  	05 29 26.1	-35 30 21	 3.87	 2.22	 1.14	-0.82	 -1.42
    1308	 HD  50877  	06 52 03.4	-24 07 13	 3.87	 3.72	 1.73	-1.17	 -1.99
    2334	 HD 121790  	13 55 34.8	-44 33 37	 3.87	-1.00	-0.20	 0.14	  0.35
    1760	 HD  85503  	09 49 55.3	+26 14 34	 3.88	 2.62	 1.22	-0.91	 -1.49
    2144	 HD 109026  	12 29 27.1	-71 51 24	 3.88	-0.76	-0.15	 0.03	  0.20
    2282	 HD 117440  	13 28 08.1	-39 08 58	 3.88	 2.20	 1.16	-0.84	 -1.43
    2428	 HD 129502  	14 40 25.2	-05 26 30	 3.88	 0.37	 0.38	-0.40	 -0.62
    2959	 HD 163770  	17 54 32.1	+37 15 20	 3.88	 2.82	 1.35	-0.90	 -1.50
    1291	 HD  50013  	06 47 58.3	-32 26 57	 3.89	-1.16	-0.21	 0.02	  0.16
    2146	 HD 109387  	12 31 21.5	+70 03 48	 3.89	-0.71	-0.14	-0.05	  0.03
    1578	 HD  71155  	08 23 09.7	-03 44 31	 3.90	-0.05	-0.02	-0.03	  0.02
    2116	 HD 107259  	12 17 20.8	-00 23 21	 3.90	 0.09	 0.02	-0.08	 -0.08
    1216	 HD  47205  	06 34 30.0	-19 12 42	 3.91	 2.05	 1.06	-0.78	 -1.30
    1623	 HD  75063  	08 44 19.9	-45 51 27	 3.91	-0.05	 0.00	-0.05	 -0.18
    1730	 HD  83618  	09 37 18.1	-00 54 52	 3.91	 2.77	 1.32	-0.99	 -1.66
    2135	 HD 108483  	12 25 19.4	-49 57 12	 3.91	-0.96	-0.19	 0.11	  0.31
    2547	 HD 138905  	15 32 43.4	-14 37 26	 3.91	 1.76	 1.02	-0.71	 -1.26
    2675	 HD 147394  	16 18 14.0	+46 25 53	 3.91	-0.72	-0.15	 0.09	  0.25
    2814	 HD 153808  	16 58 22.4	+30 59 55	 3.92	-0.12	-0.01	 0.01	  0.05
    1468	 HD  61935  	07 38 51.4	-09 25 58	 3.93	 1.90	 1.02	-0.77	 -1.29
    2979	 HD 164353  	17 58 08.3	+02 55 55	 3.93	-0.59	 0.03	-0.09	 -0.12
    3283	 HD 181577  	19 18 46.4	-17 56 35	 3.93	 0.36	 0.22	-0.19	 -0.29
    3403	 HD 188947  	19 54 25.7	+34 56 57	 3.93	 1.91	 1.03	-0.74	 -1.27
    3800	 HD 215665  	22 44 07.1	+23 18 06	 3.93	 2.00	 1.07	-0.77	 -1.27
      66	 HD   2262  	00 23 44.9	-43 57 24	 3.94	 0.28	 0.17	-0.16	 -0.24
    1615	 HD  74442  	08 41 50.7	+18 20 20	 3.94	 2.07	 1.08	-0.78	 -1.32
    3588	 HD 199629  	20 55 18.3	+40 58 25	 3.94	 0.02	 0.02	-0.05	 -0.05
    1479	 HD  62623  	07 41 47.9	-28 50 02	 3.95	 0.11	 0.18	-0.27	 -0.45
     426	 HD  17878  	02 50 41.7	+52 33 32	 3.96	 1.21	 0.75	-0.63	 -1.07
     645	 HD  28028  	04 22 09.3	-34 07 53	 3.96	 3.29	 1.49	-1.17	 -2.00
    1083	 HD  40808  	05 57 36.9	-42 49 00	 3.96	 2.22	 1.14	-0.82	 -1.40
    1118	 HD  43232  	06 12 24.9	-06 15 28	 3.96	 2.73	 1.31	-0.97	 -1.60
    2100	 HD 105937  	12 09 01.7	-52 05 24	 3.96	-0.76	-0.15	 0.09	  0.25
    1051	 HD  39003  	05 48 01.3	+39 08 08	 3.97	 2.23	 1.14	-0.82	 -1.38
    1657	 HD  76943  	08 57 24.0	+41 58 55	 3.97	 0.49	 0.43	-0.40	 -0.62
    2628	 HD 144470  	16 03 52.6	-20 32 05	 3.97	-0.87	-0.05	-0.06	  0.02
    3765	 HD 213009  	22 26 17.7	-43 45 03	 3.97	 1.83	 1.03	-0.75	 -1.26
    3477	 HD 192909  	20 13 55.4	+47 33 34	 3.98	 2.56	 1.52	-1.20	 -2.12
    3805	 HD 216032  	22 46 56.7	-13 51 23	 3.98	 3.53	 1.59	-1.19	 -2.14
    3869	 HD 219571  	23 14 31.5	-58 30 37	 3.98	 0.37	 0.39	-0.41	 -0.65
    3878	 HD 220321  	23 20 20.7	-20 22 24	 3.98	 2.05	 1.10	-0.82	 -1.42
    1401	 HD  57623  	07 16 51.6	-67 51 55	 3.99	 1.24	 0.79	-0.66	 -1.04
    2426	 HD 129116  	14 38 50.6	-37 34 47	 4.00	-0.86	-0.17	 0.11	  0.26
    3194	 HD 175865  	18 53 48.7	+43 52 46	 4.00	 3.00	 1.59	-2.05	 -3.96
    3779	 HD 213998  	22 32 47.1	-00 22 32	 4.00	-0.38	-0.10	 0.06	  0.13
    1632	 HD  75691  	08 48 24.4	-27 31 23	 4.01	 2.66	 1.26	-0.95	 -1.62
    1822	 HD  90589  	10 23 24.4	-73 46 36	 4.01	 0.34	 0.35	-0.34	 -0.53
    2615	 HD 144284  	16 00 56.7	+58 41 52	 4.01	 0.62	 0.52	-0.45	 -0.70
    2647	 HD 145502  	16 09 05.0	-19 19 54	 4.01	-0.61	 0.03	-0.11	 -0.14
    3527	 HD 195295  	20 27 24.0	+30 12 01	 4.01	 0.68	 0.41	-0.36	 -0.59
     259	 HD  12274  	01 57 38.9	-21 19 08	 4.02	 3.43	 1.56	-1.26	 -2.30
     759	 HD  31910  	04 58 57.5	+60 22 18	 4.02	 1.55	 0.93	-0.69	 -1.16
    2112	 HD 106849  	12 14 50.9	-67 40 56	 4.02	 3.25	 1.58	-1.90	 -3.66
    2273	 HD 116842  	13 23 13.4	+55 14 52	 4.02	 0.24	 0.16	-0.17	 -0.24
    2666	 HD 146686  	16 16 05.3	-50 02 06	 4.02	 2.25	 1.08	-0.78	 -1.36
    3208	 HD 176411  	18 57 21.0	+14 59 55	 4.02	 2.12	 1.08	-0.76	 -1.28
    3222	 HD 176678  	18 59 00.5	-05 48 38	 4.02	 2.13	 1.09	-0.79	 -1.33
    3652	 HD 205435  	21 32 05.7	+45 22 11	 4.02	 1.45	 0.89	-0.71	 -1.21
     594	 HD  25940  	04 05 01.3	+47 34 51	 4.03	-0.58	-0.03	-0.12	 -0.10
    3001	 HD 165341  	18 02 55.5	+02 30 33	 4.03	 1.37	 0.86	-0.65	 -1.11
    3535	 HD 195810  	20 30 49.3	+11 07 55	 4.03	-0.60	-0.13	 0.02	  0.15
     576	 HD  24912  	03 55 42.7	+35 38 55	 4.04	-0.91	 0.02	-0.16	 -0.15
    2047	 HD 102212  	11 43 17.3	+06 48 34	 4.04	 3.28	 1.50	-1.25	 -2.26
    2200	 HD 112092  	12 51 38.3	-56 54 23	 4.04	-0.92	-0.17	 0.10	  0.34
    2416	 HD 128345  	14 34 30.5	-49 12 32	 4.05	-0.71	-0.15	 0.09	  0.20
     118	 HD   4502  	00 44 40.9	+23 59 42	 4.06	 1.99	 1.12	-0.85	 -1.44
     230	 HD  10516  	01 40 30.7	+50 26 15	 4.06	-0.96	-0.04	-0.16	 -0.18
     745	 HD  31421  	04 53 33.3	+13 26 12	 4.06	 2.25	 1.15	-0.88	 -1.51
    1451	 HD  60522  	07 32 50.5	+27 00 29	 4.06	 3.48	 1.54	-1.24	 -2.15
    2395	 HD 126660  	14 23 29.5	+52 04 50	 4.06	 0.51	 0.50	-0.42	 -0.67
    1931	 HD  95272  	10 57 20.1	-18 01 54	 4.07	 2.07	 1.09	-0.80	 -1.35
    2321	 HD 120477  	13 47 03.7	+16 02 41	 4.07	 3.39	 1.52	-1.20	 -2.07
    3602	 HD 200761  	21 03 08.3	-17 25 56	 4.07	 0.00	-0.01	-0.01	  0.01
    1307	 HD  50778  	06 51 51.9	-11 58 28	 4.08	 3.12	 1.43	-1.13	 -1.91
    3681	 HD 206936  	21 41 58.5	+58 33 01	 4.08	 4.77	 2.35	-2.10	 -3.86
     360	 HD  15008  	02 20 51.1	-68 53 11	 4.09	 0.08	 0.03	-0.04	 -0.05
     442	 HD  18978  	03 00 11.1	-23 49 08	 4.09	 0.24	 0.16	-0.13	 -0.22
     975	 HD  37160  	05 34 09.3	+09 15 53	 4.09	 1.61	 0.95	-0.76	 -1.31
    1723	 HD  83183  	09 32 59.5	-59 00 21	 4.09	-0.51	 0.00	-0.09	 -0.08
    2567	 HD 141477  	15 46 29.2	+18 17 39	 4.09	 3.57	 1.62	-1.25	 -2.23
    3633	 HD 203504  	21 19 46.3	+19 35 21	 4.09	 2.16	 1.11	-0.79	 -1.33
     216	 HD   9826  	01 33 51.1	+41 09 21	 4.10	 0.60	 0.54	-0.46	 -0.75
     501	 HD  21754  	03 28 06.4	+12 45 59	 4.10	 2.15	 1.13	-0.77	 -1.31
    1499	 HD  63922  	07 47 42.7	-46 14 46	 4.11	-1.19	-0.18	 0.08	  0.25
    1757	 HD  85444  	09 49 04.3	-14 36 39	 4.11	 1.57	 0.92	-0.69	 -1.16
    3766	 HD 213080  	22 26 46.7	-44 00 21	 4.11	 3.27	 1.57	-1.73	 -3.32
     835	 HD  35369  	05 21 32.1	-07 51 07	 4.12	 1.66	 0.96	-0.72	 -1.22
    1345	 HD  53244  	07 01 29.7	-15 33 27	 4.12	-0.60	-0.12	 0.01	  0.11
    1853	 HD  92305  	10 34 53.6	-78 20 54	 4.12	 3.53	 1.58	-1.26	 -2.24
    2082	 HD 104979  	12 02 39.6	+09 00 36	 4.12	 1.63	 0.99	-0.74	 -1.23
    3572	 HD 198542  	20 48 50.4	-27 06 25	 4.12	 3.54	 1.63	-1.25	 -2.19
     400	 HD  16895  	02 40 46.2	+49 01 06	 4.13	 0.49	 0.49	-0.46	 -0.76
    2541	 HD 138749  	15 30 54.6	+31 31 35	 4.13	-0.68	-0.13	 0.05	  0.16
    3907	 HD 222368  	23 37 22.5	+05 21 17	 4.13	 0.51	 0.51	-0.45	 -0.76
    1165	 HD  45542  	06 25 59.6	+20 14 43	 4.14	-0.63	-0.14	 0.03	  0.14
    1597	 HD  73634  	08 35 53.0	-42 48 47	 4.14	 0.25	 0.10	-0.16	 -0.29
    3908	 HD 222439  	23 37 56.2	+44 03 23	 4.14	-0.34	-0.08	 0.01	  0.08
    1088	 HD  41116  	06 01 04.7	+23 16 03	 4.15	 1.39	 0.87	-0.68	 -1.13
    3741	 HD 211388  	22 13 47.1	+37 29 55	 4.15	 3.09	 1.46	-1.00	 -1.72
      82	 HD   2905  	00 30 08.3	+62 39 21	 4.16	-0.66	 0.14	-0.14	 -0.20
     610	 HD  26630  	04 11 12.9	+48 17 02	 4.16	 1.59	 0.96	-0.78	 -1.33
    2584	 HD 142198  	15 50 58.3	-16 35 02	 4.16	 1.83	 1.01	-0.72	 -1.24
    2601	 HD 143107  	15 55 30.9	+27 01 16	 4.16	 2.51	 1.23	-0.89	 -1.52
    3742	 HD 211391  	22 14 11.7	-08 01 57	 4.16	 1.79	 0.99	-0.70	 -1.18
     557	 HD  24160  	03 47 34.9	-36 21 02	 4.17	 1.63	 0.95	-0.71	 -1.21
    1428	 HD  58946  	07 25 53.7	+31 53 07	 4.18	 0.30	 0.32	-0.32	 -0.51
    2374	 HD 125162  	14 14 28.9	+46 19 01	 4.18	 0.13	 0.08	-0.02	 -0.05
    2318	 HD 120323  	13 46 32.4	-34 12 07	 4.19	 2.96	 1.50	-2.13	 -4.00
    3167	 HD 173667  	18 43 30.4	+20 29 48	 4.19	 0.47	 0.46	-0.39	 -0.65
    3801	 HD 215648  	22 44 11.5	+11 54 56	 4.19	 0.47	 0.50	-0.46	 -0.77
     867	 HD  36267  	05 28 06.3	+05 54 40	 4.20	-0.69	-0.13	 0.06	  0.20
    1827	 HD  90537  	10 24 59.9	+36 57 50	 4.21	 1.55	 0.90	-0.69	 -1.15
    2360	 HD 124294  	14 10 13.3	-10 02 29	 4.21	 2.79	 1.32	-1.07	 -1.82
     491	 HD  21291  	03 25 00.0	+59 46 04	 4.22	 0.18	 0.41	-0.38	 -0.76
    3172	 HD 173764  	18 44 31.2	-04 48 10	 4.22	 1.93	 1.09	-0.79	 -1.36
    3529	 HD 195725  	20 28 44.6	+62 49 31	 4.22	 0.36	 0.20	-0.17	 -0.26
    3638	 HD 203608  	21 22 20.1	-65 35 38	 4.22	 0.35	 0.48	-0.47	 -0.77
    3862	 HD 219215  	23 11 43.9	-06 19 06	 4.22	 3.42	 1.55	-1.28	 -2.36
      49	 HD   1581  	00 17 28.7	-65 10 06	 4.23	 0.59	 0.57	-0.50	 -0.83
    2309	 HD 119756  	13 42 50.9	-32 47 25	 4.23	 0.38	 0.38	-0.33	 -0.54
    2715	 HD 148703  	16 28 06.5	-34 35 49	 4.23	-0.93	-0.17	 0.06	  0.18
    3559	 HD 197912  	20 43 35.7	+30 32 09	 4.23	 1.93	 1.06	-0.77	 -1.30
    1503	 HD  64760  	07 51 49.9	-47 58 17	 4.24	-1.13	-0.14	 0.02	  0.14
    3381	 HD 187796  	19 48 38.5	+32 47 12	 4.24	 2.78	 1.82	-2.43	 -4.25
    3622	 HD 202850  	21 15 26.9	+39 11 03	 4.24	-0.26	 0.13	-0.18	 -0.32
     160	 HD   6811  	01 06 35.3	+46 58 32	 4.25	-0.41	-0.07	-0.03	  0.02
     374	 HD  15371  	02 25 09.2	-47 55 39	 4.25	-0.64	-0.14	 0.03	  0.16
